mode,state,date,dem,rep,pollster,sigma
president,IL,2012-10-30,57.0,41.0,We Ask America,3
president,IL,2012-11-02,57.0,38.0,YouGov,3
president,IN,2012-09-11,45.0,50.0,YouGov,3
president,IN,2012-10-08,41.0,53.0,YouGov,3
president,IN,2012-11-02,44.0,51.0,YouGov,3
president,KY,2012-09-12,39.0,53.0,SurveyUSA,3
president,LA,2012-09-29,36.5,49.7,Zogby Analytics,3
president,LA,2012-10-03,36.0,59.0,Magellan Strategies,3
president,MA,2012-09-11,55.0,39.0,YouGov,3
president,MA,2012-09-15,57.0,39.0,Public Policy Polling,3
president,MA,2012-09-15,64.0,31.0,Suffolk University,3
president,MA,2012-09-15,59.0,36.0,University of Massachusetts Lowell Center for Public Opinion,3
president,MA,2012-09-16,59.0,31.0,MassINC Polling Group,3
president,MA,2012-09-24,57.0,30.0,University of New Hampshire Survey Center,3
president,MA,2012-09-27,60.0,32.0,MassINC Polling Group,3
president,MA,2012-10-05,55.0,34.0,YouGov,3
president,MA,2012-10-06,52.0,36.0,MassINC Polling Group,3
president,MA,2012-10-08,55.0,36.0,YouGov,3
president,MA,2012-10-10,55.0,41.0,Public Policy Polling,3
president,MA,2012-10-15,57.0,39.0,Public Policy Polling,3
president,MA,2012-10-21,56.0,36.0,MassINC Polling Group,3
president,MA,2012-10-26,52.0,38.0,University of New Hampshire Survey Center,3
president,MA,2012-10-27,63.0,31.0,Suffolk University,3
president,MA,2012-11-01,57.0,42.0,Public Policy Polling,3
president,MA,2012-11-02,57.0,37.0,YouGov,3
president,MA,2012-11-02,57.0,37.0,University of Massachusetts Lowell Center for Public Opinion,3
president,MD,2012-09-11,57.0,37.0,YouGov,3
president,MD,2012-10-08,58.0,37.0,YouGov,3
president,MD,2012-10-13,60.0,36.0,ABC News/The Washington Post,3
president,MD,2012-11-02,59.0,37.0,YouGov,3
president,ME,2012-09-16,53.5,37.3,Maine People's Resource Center,3
president,ME,2012-09-17,55.0,39.0,Public Policy Polling,3
president,ME,2012-11-01,55.0,42.0,Public Policy Polling,3
president,ME,2012-11-02,53.3,42.2,Maine People's Resource Center,3
president,MI,2012-09-10,47.0,37.0,EPIC-MRA,3
president,MI,2012-09-11,51.0,42.0,YouGov,3
president,MI,2012-09-16,52.0,37.8,Glengariff Group,3
president,MI,2012-09-16,52.0,44.0,Big Village,3
president,MI,2012-09-18,51.0,42.0,Public Policy Polling,3
president,MI,2012-09-21,50.0,46.2,Gravis Marketing,3
president,MI,2012-09-26,52.0,39.9,We Ask America,3
president,MI,2012-10-05,48.0,45.0,EPIC-MRA,3
president,MI,2012-10-07,49.0,42.3,Glengariff Group,3
president,MI,2012-10-07,46.0,44.4,Gravis Marketing,3
president,MI,2012-10-08,52.0,42.0,YouGov,3
president,MI,2012-10-17,52.0,46.0,EPIC-MRA,3
president,MI,2012-10-19,49.0,40.0,Angus Reid Global,3
president,MI,2012-10-28,47.7,45.0,Glengariff Group,3
president,MI,2012-10-28,48.0,42.0,EPIC-MRA,3
president,MI,2012-10-30,53.0,45.0,Public Policy Polling,3
president,MI,2012-10-31,48.0,41.0,Grove Insight,3
president,MI,2012-11-02,52.0,46.0,Public Policy Polling,3
president,MI,2012-11-02,52.0,47.0,Angus Reid Global,3
president,MI,2012-11-02,51.0,44.0,YouGov,3
president,MI,2012-11-04,51.0,46.0,Mitchell Research & Communications,3
president,MN,2012-09-08,50.0,40.0,SurveyUSA,3
president,MN,2012-09-10,51.0,44.0,Public Policy Polling,3
president,MN,2012-09-11,50.0,42.0,YouGov,3
president,MN,2012-09-18,48.0,40.0,Mason-Dixon Polling & Strategy,3
president,MN,2012-10-07,53.0,43.0,Public Policy Polling,3
president,MN,2012-10-08,52.0,44.0,YouGov,3
president,MN,2012-10-13,50.0,40.0,SurveyUSA,3
president,MN,2012-10-24,47.0,44.0,Mason-Dixon Polling & Strategy,3
president,MN,2012-10-27,50.0,43.0,SurveyUSA,3
president,MN,2012-10-31,53.0,44.0,Public Policy Polling,3
president,MN,2012-11-02,53.0,45.0,Public Policy Polling,3
