GEOID,hispanic,total,h_share
13004,10743,183921,0.058411
13005,77846,191948,0.405558
13006,12728,190962,0.066652
13007,33404,184622,0.180932
13008,12715,179051,0.071013
13009,41847,195761,0.213766
13010,10548,191956,0.05495
13011,19773,204100,0.096879
13012,7869,189077,0.041618
13013,11048,175795,0.062846
13014,24825,198212,0.125245
13015,14295,182264,0.07843
13016,10942,194449,0.056272
13017,16998,191555,0.088737
13018,9854,195277,0.050462
13019,23171,207736,0.111541
13020,9274,190962,0.048565
13021,18916,196055,0.096483
13022,10728,191643,0.055979
13023,10271,192229,0.053431
13024,11058,193227,0.057228
13025,7607,190083,0.040019
13026,7353,188512,0.039005
13027,22351,203886,0.109625
13028,28313,195446,0.144864
13029,10101,194594,0.051908
13030,12712,191908,0.06624
13031,18205,194070,0.093806
13032,20922,188929,0.11074
13033,41814,205843,0.203135
13034,25607,189590,0.135065
13035,15843,192151,0.082451
13036,14932,188793,0.079092
13037,19037,193748,0.098256
13038,11471,186683,0.061446
13039,9458,192663,0.049091
13040,37309,188938,0.197467
13041,14326,193119,0.074182
13042,12919,198571,0.06506
13043,17735,182884,0.096974
13044,15179,184441,0.082297
13045,31463,191917,0.163941
13046,14577,191900,0.075961
13047,20391,189169,0.107793
13048,11654,176045,0.066199
13049,49442,181688,0.272126
13050,25810,199731,0.129224
13051,10454,191329,0.054639
13052,18171,184714,0.098374
13053,9301,197090,0.047192
13054,53032,191733,0.276593
13055,14642,201997,0.072486
13056,14190,179370,0.07911
15001,7071,54267,0.1303
15002,8091,46532,0.17388
15003,7104,55041,0.129067
15004,5277,46323,0.113917
15005,4949,50526,0.09795
15006,8504,61191,0.138975
15007,6133,53098,0.115503
15008,8501,73511,0.115643
15009,2285,51672,0.044221
15010,3746,54423,0.068831
15011,3789,58991,0.06423
15012,3725,51290,0.072626
15013,4039,50571,0.079868
15014,3972,59675,0.066561
15015,10721,87765,0.122156
15016,3383,52219,0.064785
15017,6310,56776,0.111139
15018,5232,52178,0.100272
15019,4882,57526,0.084866
15020,9696,63862,0.151827
15021,8447,61793,0.136698
15022,8125,52379,0.155119
15023,11016,78202,0.140866
15024,9317,65116,0.143083
15025,4708,55662,0.084582
19001,15985,64746,0.246888
19002,5493,63225,0.08688
19003,7950,63698,0.124808
19004,3089,63718,0.048479
19005,2879,63605,0.045264
19006,6291,63472,0.099115
19007,3896,62781,0.062057
19008,1871,64413,0.029047
19009,2164,63542,0.034056
19010,7073,63060,0.112163
19011,1970,64186,0.030692
19012,3001,63663,0.047139
19013,4524,63565,0.071171
19014,3040,64601,0.047058
19015,11509,63500,0.181244
19016,4594,64225,0.07153
19017,10727,60531,0.177215
19018,4723,64420,0.073316
19019,1557,63513,0.024515
19020,5567,67718,0.082209
19021,2198,66771,0.032918
19022,3075,62986,0.04882
19023,2116,61732,0.034277
19024,4273,68654,0.06224
19025,2358,58760,0.040129
19026,10649,64201,0.16587
19027,3524,63287,0.055683
19028,5331,63821,0.08353
19029,1640,63918,0.025658
19030,2801,63961,0.043792
19031,4742,64644,0.073356
19032,2094,63800,0.032821
19033,1500,58214,0.025767
19034,1476,63804,0.023133
19035,2044,63000,0.032444
19036,1777,69625,0.025522
19037,2036,62672,0.032487
19038,1475,63107,0.023373
19039,3413,59837,0.057038
19040,2255,64712,0.034847
19041,4815,63239,0.07614
19042,957,66661,0.014356
19043,3153,63846,0.049384
19044,2209,63288,0.034904
19045,4362,65175,0.066928
19046,3765,63448,0.05934
19047,3170,64496,0.04915
19048,8317,63776,0.13041
19049,6763,63353,0.106751
19050,2446,63866,0.038299
16001,2331,53680,0.043424
16002,2560,54052,0.047362
16003,2645,58140,0.045494
16004,3018,53404,0.056513
16005,2291,46371,0.049406
16006,2415,53523,0.045121
16007,2335,53430,0.043702
16008,5931,52735,0.112468
16009,13419,60317,0.222475
16010,7599,56064,0.135542
16011,16818,41176,0.408442
16012,16497,58279,0.283069
16013,11211,56096,0.199854
16014,5119,60434,0.084704
16015,5409,49768,0.108684
16016,5694,51836,0.109846
16017,5628,52255,0.107703
16018,4319,51826,0.083337
16019,2717,50645,0.053648
16020,3353,49814,0.06731
16021,5683,54450,0.104371
16022,4014,51858,0.077404
16023,8428,55158,0.152797
16024,12207,53790,0.226938
16025,8356,53455,0.156318
16026,16613,53925,0.308076
16027,14892,51057,0.291674
16028,7230,59303,0.121916
16029,4588,48026,0.095532
16030,8929,50858,0.175567
16031,5645,53701,0.105119
16032,6311,45578,0.138466
16033,8550,51802,0.165052
16034,4382,52487,0.083487
16035,5099,54816,0.09302
17001,151081,205755,0.734276
17002,116072,220082,0.527403
17003,35437,196113,0.180697
17004,43020,210312,0.204553
17005,23275,208254,0.111763
17006,18434,214526,0.085929
17007,37842,221743,0.170657
17008,34031,218684,0.155617
17009,19078,210551,0.09061
17010,56723,216717,0.261738
17011,133000,219722,0.60531
17012,143978,215879,0.666938
17013,30178,221362,0.136329
17014,27644,225138,0.122787
17015,27074,216554,0.125022
17016,50754,217610,0.233234
17017,34654,212862,0.1628
17018,29780,214848,0.13861
17019,14844,211157,0.070298
17020,100791,211657,0.4762
17021,19146,220112,0.086983
17022,88963,209832,0.423973
17023,40618,217536,0.186719
17024,25928,212091,0.122249
17025,90006,222372,0.404754
17026,20943,217704,0.096199
17027,38602,211836,0.182226
17028,36333,224958,0.16151
17029,28276,218279,0.129541
17030,73766,211580,0.348644
17031,59624,220674,0.27019
17032,28751,213721,0.134526
17033,38316,224945,0.170335
17034,41027,211355,0.194114
17035,28955,218024,0.132806
17036,24978,215991,0.115644
17037,20717,226999,0.091265
17038,26318,202351,0.130061
17039,80153,220929,0.3628
17040,29518,221128,0.133488
17041,17826,211304,0.084362
17042,46703,208665,0.223818
17043,69867,225751,0.309487
17044,6261,213499,0.029326
17045,14260,222618,0.064056
17046,13688,228316,0.059952
17047,6459,216016,0.029901
17048,6390,217192,0.029421
17049,44059,216593,0.203418
17050,6871,216186,0.031783
17051,6809,219203,0.031063
17052,15156,217790,0.06959
17053,12585,206785,0.06086
17054,3494,217525,0.016063
17055,5261,219572,0.02396
17056,10499,217368,0.048301
17057,8665,215051,0.040293
17058,5799,215993,0.026848
17059,6406,217901,0.029399
17ZZZ,18,2363,0.007617
18001,21421,136153,0.15733
18002,51688,133806,0.386291
18003,19113,135065,0.14151
18004,14995,135554,0.11062
18005,10484,133990,0.078245
18006,11185,136971,0.08166
18007,9709,138423,0.07014
18008,9697,134792,0.07194
18009,10151,132552,0.076581
18010,19514,133940,0.145692
18011,9435,133036,0.070921
18012,28806,135668,0.212327
18013,8796,134486,0.065405
18014,12902,134836,0.095687
18015,6429,138214,0.046515
18016,7550,138145,0.054653
18017,5021,134291,0.037389
18018,10548,132371,0.079685
18019,8984,136167,0.065978
18020,5640,135402,0.041654
18021,8246,140392,0.058736
18022,12948,134919,0.095969
18023,5847,134388,0.043508
18024,6157,135670,0.045382
18025,6404,136034,0.047076
18026,3993,136742,0.029201
18027,3541,134310,0.026364
18028,7163,137782,0.051988
18029,10076,134293,0.07503
18030,10783,132842,0.081172
18031,4531,136910,0.033095
18032,8864,136800,0.064795
18033,19584,139340,0.140548
18034,17867,137589,0.129858
18035,16787,136572,0.122917
18036,10127,140526,0.072065
18037,2152,134504,0.016
18038,3565,138473,0.025745
18039,4008,134978,0.029694
18040,5192,133887,0.038779
18041,8089,138154,0.058551
18042,2832,137304,0.020626
18043,2653,133463,0.019878
18044,5374,132784,0.040472
18045,7429,137483,0.054036
18046,17950,134615,0.133343
18047,3929,132009,0.029763
18048,5719,138449,0.041308
18049,3442,135098,0.025478
18050,3664,134093,0.027324
20001,2689,72659,0.037008
20002,5990,74654,0.080237
20003,3896,72064,0.054063
20004,23412,72435,0.323214
20005,5234,77164,0.06783
20006,25515,70439,0.362228
20007,5495,74131,0.074126
20008,5304,75843,0.069934
20009,7743,76821,0.100793
20010,4876,76355,0.06386
20011,2319,74353,0.031189
20012,2643,73260,0.036077
20013,3581,72797,0.049192
20014,3496,75271,0.046446
20015,4612,73212,0.062995
20016,4847,73452,0.065989
20017,13620,73814,0.184518
20018,3541,72597,0.048776
20019,14684,70950,0.206963
20020,6362,74782,0.085074
20021,9330,73584,0.126794
20022,6141,72105,0.085167
20023,8901,72052,0.123536
20024,7503,72652,0.103273
20025,18775,74500,0.252013
20026,5536,70705,0.078297
20027,7511,71210,0.105477
20028,14074,74339,0.189322
20029,18757,71820,0.261167
20030,7264,73358,0.099021
20031,10470,76970,0.136027
20032,6279,75810,0.082825
20033,8585,73544,0.116733
20034,6806,73331,0.092812
20035,3163,72480,0.04364
20036,2383,71330,0.033408
20037,6329,71397,0.088645
20038,36724,73374,0.500504
20039,30893,72096,0.428498
20040,4687,72212,0.064906
21001,4705,117544,0.040028
21002,2929,120783,0.02425
21003,6933,116136,0.059697
21004,3347,115766,0.028912
21005,3280,113104,0.029
21006,4796,117059,0.040971
21007,6639,111327,0.059635
21008,3897,121147,0.032168
21009,6105,122499,0.049837
21010,6697,113493,0.059008
21011,5026,112582,0.044643
21012,5173,122369,0.042274
21013,10714,123528,0.086733
21014,2740,112882,0.024273
21015,3588,118101,0.030381
21016,4257,122122,0.034859
